label,child talk,parent talk
question,you have to put it the other way,what other way
neutral_talk,it needs these ones,"alright , all the monster trucks go in there we need to clean the table up"
reflection,a moustache,a moustache
negative_talk,,you never help me pick up
question,,even the rocket
behavior_description,,you moved the car back and forth
neutral_talk,oh,i'm sorry that you broke the red crayon
neutral_talk,mom,we 're all done cleaning up
reflection,i have the yellow block,the yellow one
neutral_talk,,"you ve got the gravedigger , you got ironman , you got a fire truck , you got a school bus"
neutral_talk,,oh toy drops
behavior_description,,you sat down next to me
command,,you need to listen to me
neutral_talk,,this car needs another wheel
reflection,this tower is getting really high,it is getting really high
command,,if you keep on working like this at school you will get straight a 's
question,,do you know what color this is
labelled_praise,child is counting to 10,good job counting
question,,where does this go
reflection,i'm coloring alot,you are coloring a lot
reflection,child pretending to drink from a cup and making the gulp gulp sound,parent makes gulp gulp sound
command,,put the arms in the right place (potato head)
neutral_talk,,"he might have went on the floor , but we ll find him"
command,,get down
command,,pick out some toys
question,and this one touching on that one,have you ever seen a real monster truck
neutral_talk,,i m coming down to get some chocolate
negative_talk,close your eyes,that is not where it goes honey
labelled_praise,,great job respecting the toys
negative_talk,,are you going to keep acting like a baby
unlabelled_praise,,so creative
reflection,you have to build a house,i have to build a house
command,,play nice
labelled_praise,,your hair is beautiful when you comb it
question,,what do you want
command,,will you make a rooster sound
negative_talk,you 're stupid,we do n't say bad words
neutral_talk,,that is a green truck
negative_talk,here 's a pink pony,you know i hate pink
command,,let 's move this over here
command,,you need to share
question,,where s it at
reflection,it 's a horsey,it is a horse it 's a brown horse
neutral_talk,,this room has a lot of toys we can play with
negative_talk,look mommy i'm making a cupcake,that 's not how you use that (talking about a play doh toy)
behavior_description,,you are moving the car
question,,what time is it where is mexico
negative_talk,this is a red crayon,no that 's not red that 's yellow
unlabelled_praise,clean up clean up everybody everywhere,good job
reflection,i can draw a star,you can draw a star
labelled_praise,,you drew it perfectly
unlabelled_praise,,that is amazing
labelled_praise,,thank you for waiting your turn
negative_talk,,no do n't do that
negative_talk,,that 's not red
question,yeah,there s none for me
question,,would this help
reflection,there we go,"there we go , alright"
reflection,i am putting the mr potato head together,you are putting the mr potato head together
command,,i need you to pick up the toys
neutral_talk,,grandma told me that you climbed a tree this weekend
labelled_praise,i m choosing this one,that s a good one
behavior_description,,you seem happy that you fixed it
command,,write your name on the paper first
neutral_talk,,you 're going to fall
labelled_praise,,you are so good at taking care of the animals
neutral_talk,,here s another one like this one right here
command,,i want you to put the bird on the branch
neutral_talk,,"no , i ll leave those"
behavior_description,,you found that fast
neutral_talk,,the other person might come play
behavior_description,,you are drawing a girl
behavior_description,,you are playing quietly
neutral_talk,,hi
neutral_talk,,mmm
neutral_talk,,i m gonna put pretzels on the plate
command,my friend,bring that over here
neutral_talk,why,i m gonna make some more stuff
neutral_talk,,i do n't know what to do next
labelled_praise,child draws a house,i like that house
reflection,,you did have a good day at school
neutral_talk,french fries,they re so heavy
neutral_talk,,you got some out
neutral_talk,,hmm
behavior_description,mine,you grabbed it from me
command,where is the egg,you ought to
question,,how are you going to do that
neutral_talk,,i found another one
neutral_talk,i did it by myself,you 're happy that you could do it by yourself
reflection,i'm making the car go fast,you 're making the car go super fast
negative_talk,,that 's not what it is
behavior_description,,we 're building the tower
negative_talk,colors on table,stop do n't color on the table
behavior_description,,you found the green crayon
neutral_talk,let s fill it up again,"sure , we can"
behavior_description,,you put the green block on first
reflection,we play cars now,you 'd like to play with the cars now
reflection,i'm making a boat and a jet ski,you 're making a boat and jet ski
reflection,i'm able to spell my name,you can spell your name
negative_talk,,no no no
question,we need a plate,what are all these toys
labelled_praise,,you did a good job
reflection,i drew a picture of a boat,you drew a picture of a boat
neutral_talk,,i did not hear you
labelled_praise,,i'm very proud of you
behavior_description,,you are playing with the car
behavior_description,,moving everything out the way
negative_talk,,why did you do it like that
labelled_praise,,if you continue practicing your beautiful writing will get even better
command,,could you make it high
neutral_talk,,i m going to go to the police station
behavior_description,,you put the chicken in the barn
reflection,i counted 6 blocks,there are 6 blocks
neutral_talk,will you pick up the toy soldiers,no i want to play with them
behavior_description,,your swishing the play dough
neutral_talk,,this piece goes like this (demonstrates)
neutral_talk,there 's no more blue,the green pieces will work
negative_talk,,if you keep whining i 'll put you in a box and ship you off to china
question,,do you want to play something else
question,yeah,do you think it s enough for everybody
unlabelled_praise,,good for you
negative_talk,,that was a dumb idea
labelled_praise,,your picture is so pretty
question,,can i have a turn with the hat
neutral_talk,,i want something different to play with
behavior_description,,you seem to like those toys
question,,do you know where it goes
negative_talk,this is a zebra,no that 's a just a horse
neutral_talk,i don t like playing by myself,you like playing with other people
behavior_description,,you are driving the car
reflection,my house is yellow and red,your house is yellow and red
command,,if you give me some blocks i 'll play with you
neutral_talk,,i will play with this
neutral_talk,can we go to mcdonald 's tonight,we have dinner at home
neutral_talk,there,those cows are hungry
neutral_talk,i love green,i love the color purple
behavior_description,,you are jumping
reflection,it 's a cow,it 's a cow
reflection,my favorite is the giraffe,that 's right i remember you told me your favorite animal is the giraffe
labelled_praise,,nice pie you made
question,i need i m gonna choose this one,you did you pick an apple one
reflection,that s funny,that is funny
question,,would you
behavior_description,,you 're racing those two cars
negative_talk,,that 's not where that goes
command,,write the b next
negative_talk,,quit getting out of your chair
neutral_talk,,ooooo there is a blue one and there was a green one on the floor
reflection,she has blocks,yeah she does
neutral_talk,,now what we do is put them together then we take the small ones and we tie them together like that
question,,we 're having such a good time are n't we
labelled_praise,,you 're playing so nicely
neutral_talk,,i am drawing a bluebonnets
behavior_description,,you got a purple tile now
labelled_praise,,good job finding eyes
question,,are we gonna figure this out
negative_talk,,you are always knocking things over
question,,can i put the doll 's sofa in the living room
neutral_talk,op,i can grab the piece from there
command,,do it quickly
unlabelled_praise,,awesome work
neutral_talk,,that is true
neutral_talk,this is a red crayon,it 's blue
labelled_praise,,i love it when you use your manners
reflection,a new,a new one
neutral_talk,,oh my goodness
neutral_talk,,oh i see
command,,i need you to draw a circle
negative_talk,,no it is n't correct
labelled_praise,the tiger is for you mom,wow you are doing such a good job of sharing your toys with me
behavior_description,,you 're building it
neutral_talk,,i need something to drink
question,do you have pockets in there,how
question,,do you want the red ones
neutral_talk,baby take boos pacie no more pacie,the blocks are stacked
question,there s a no,no
behavior_description,,you 're coloring hard with that crayon
command,thats,will you tell me what letter this is
command,,i said sit down
command,,maybe if we put it on this one it will stay
negative_talk,,wanna trash the room
neutral_talk,ours look the same,it does
behavior_description,,you just made a circle
labelled_praise,,thank you for not throwing toys
reflection,i put the car and the truck here,you put the car and the truck beside each other
labelled_praise,,i like how you put that together like that
neutral_talk,,if you stop being good you wo n't be able to watch lv tonight
behavior_description,see i made a heart,you drew a heart
question,,do you want me to play with you
reflection,where is something where is a splint that goes in right there,you want to know where the splint is that goes in that one
command,,will you sit in this chair by me
behavior_description,,you are coloring with a green
command,,finish your name
question,,i think it s from the car s movie
question,he 's got his lips where his ears should go,how 's he gonna drink his milk
labelled_praise,i made a tower,it 's a terrific tower
neutral_talk,,the blue one is over there
command,,let 's play with a different toy
neutral_talk,,that tower is really tall
behavior_description,,you 're making the princess sleep
neutral_talk,,maybe we can get one of these for at home
neutral_talk,,i like building
labelled_praise,,you 're fun to play games with
question,i ca n't find the porcupine,it 's under the table remember
neutral_talk,,i'm feeling sad
command,,let 's play with legos
question,i'm missing a piece,do you see it
unlabelled_praise,,good work
command,,put the car in the box
labelled_praise,,you are doing a good job with this building
labelled_praise,,good job finishing your house
negative_talk,thanks,does that arm go there
reflection,because he s the best,"he is the best , alright"
command,,make it taller
neutral_talk,we have these blocks,i'm building with the blocks
command,you make a house,i think you need to
command,"one , more","now , we need to put that there"
command,,will you take
question,,french fries go on the plate with
neutral_talk,,my dog is brown
command,,let 's play with the food
unlabelled_praise,,good listening
reflection,here 's another piece of cake,oh another piece
reflection,they re really really big,"real big , yeah"
command,,hurry please
labelled_praise,i also got,good job taking your jacket off
unlabelled_praise,i made a tower,wow cool
behavior_description,and,you are scooping out the food with a spatula
labelled_praise,,you are sitting in you seat so well
neutral_talk,,train
behavior_description,,i think that 's a bunny your drawing
labelled_praise,i love it,great job putting the toy there
question,,what letter comes after m
question,,you want to play with legos do n't you
behavior_description,do you like my picture,you drew it pink
neutral_talk,,it 's time to pick up the toys
command,,put that there
command,,hand me that okay
labelled_praise,,thank you for handing me the toy
neutral_talk,the girl is in the green car,the boy is in the green car too
behavior_description,,you 're drawing a house like ours
negative_talk,the cars crash into each other,no people could get hurt if they crash
behavior_description,(child coloring),you 're using the pink crayon
question,,what do you say
neutral_talk,,i almost dropped the donut
reflection,let 's go to the zoo,ok we 're going to the zoo
neutral_talk,but it has two eyes in there,it does
question,i want to play play doh,you want to play with play doh
negative_talk,,do n't be annoying
unlabelled_praise,who did,you sing so well
command,,get that out of your mouth
neutral_talk,,another log right here
question,,have you ever played with this toy before
negative_talk,child is coloring on paper,you never color this nicely at home
labelled_praise,,i love your smile
command,oh no,i need you to hand me a marker
reflection,i'm happy that we found cookie monster,you 're glad that we found him
command,,joey
question,but i know what happened with lightning mcqueen,hmm
neutral_talk,,i used to draw a lot when i was younger
neutral_talk,,i'm going to build too
negative_talk,,i said stop it
labelled_praise,,good job coloring that
neutral_talk,,i 'd like to use a hammer also
behavior_description,,you found the house
reflection,i made a waffle,a waffle
labelled_praise,,that 's nice work you did
reflection,i love this potato head,you 're sure do love it
unlabelled_praise,look at what i did,that 's neat
labelled_praise,,thank you for sitting next to me
command,,show me what we do with the peas
question,,where are you going
neutral_talk,,that s an old daddy
neutral_talk,where is it,we got enough for monster trucks i believe
behavior_description,,you gave mr potato head another arm
behavior_description,,"oh , you put some more on there"
negative_talk,good taste,that looks weird
behavior_description,,that 's a house you 're drawing
behavior_description,what dat,you are making a pattern with the legos
negative_talk,you 're a witch,children are n't supposed to call their parents names
neutral_talk,,that car is blue
command,i want some shoes,if you do not sit down i will spank you
question,,how many cars do you have
unlabelled_praise,,wow
neutral_talk,"ok , eat first","oh , eat first"
negative_talk,,do n't be dumb
question,,what s her elf s name
negative_talk,,i do n't like that idea
command,,maybe if you use this you can squish it in there
behavior_description,,stop playing with the doll house
question,,i found a what s this
neutral_talk,,i'm building a tall tower
neutral_talk,,you got the cow in your hand
neutral_talk,(no sound),(car sounds)
reflection,go car go,c'mon car we 're rooting for you
negative_talk,,do n't press too hard
behavior_description,,you 're playing with play doh
command,,can you put all the toys in the bucket
reflection,that s a bummer,that is a bummer
reflection,i want to put this here,you want to put that there
neutral_talk,,there are 6 pieces here
negative_talk,,spit that out or else
labelled_praise,,you are being so good and i like that
neutral_talk,i drew my whole name,you 're feeling pretty proud of yourself
command,squish squish,let 's do this
command,i'm going to add some more,add some more
question,,what is that you made
question,,gonna put the cars away
question,,what do we do next
command,,elizabeth
reflection,,you 're going to make a
negative_talk,,i do n't like it when you get mad and start crying about the doll
neutral_talk,,i'm going to play with the orange one
neutral_talk,,it 's your turn to choose the game
labelled_praise,,you made a terrific game
negative_talk,,it does n't go there
unlabelled_praise,here you go,thanks
negative_talk,i want the red block,you are being selfish you are n't sharing
reflection,today was a great day,a great day
command,,put the dollhouse away ok
behavior_description,,you 're standing very close
behavior_description,,now you re putting that arm in
command,,can you let me play with that
reflection,i circled the snake,you circled a snake
question,this is a dragon 's house,is that what it is
reflection,everyone is going to go in there,everyone
negative_talk,,that 's annoying
behavior_description,,you 're pushing the car
question,,do you know what letter that is
neutral_talk,can i have a kleenex,yes you can have a kleenex
behavior_description,,you are singing the clean up song
neutral_talk,i want to play with these,oh they look like cool toys
behavior_description,playing with dolls,you put the doll in the chair
labelled_praise,,you 're making a cool motor sound
labelled_praise,,you are playing so nicely with all the toys
negative_talk,,why ca n't you act like your brother when we 're in church
behavior_description,,you put the cow in the barn
command,,if you do n't finish cleaning up then you 'll be grounded tonight
negative_talk,,if you throw that i 'll kick your behind
question,,how fast does the car go
neutral_talk,,i am building
negative_talk,,do n't make a mess
neutral_talk,,"well , i don t listen to my mom and dad every day either"
neutral_talk,,i want more short ones
negative_talk,,do n't play like that with the toys
neutral_talk,,that 's a triangle
neutral_talk,i like playing with these legos,you like playing with all their games
unlabelled_praise,,awesome bud
neutral_talk,,i do n't know how to draw
behavior_description,,you are lifting the lid
command,,use these eyes
behavior_description,,you are putting the food on the table
neutral_talk,,uh oh
neutral_talk,this is a cheetah,cheetahs run super fast
negative_talk,,that 's not polite
reflection,this is too hard,that looks hard
behavior_description,,you are molding play doh
negative_talk,,i guess you did the whole thing wrong
reflection,no,no
question,,"oh , when they re all done they can watch tv"
neutral_talk,,the car is going really fast
negative_talk,,that was a real smart idea (sarcastic tone)
neutral_talk,,hey they have legos here
labelled_praise,they only only ruined it,you did a great job of building the tower
command,,i said keep going
neutral_talk,,gasp in the bucket
neutral_talk,,cool
behavior_description,,now you are building a tower
question,,now what do you want to play
question,,where does it go
question,,what sound does the cow make
command,,can you come back over here
command,,sit at the table
labelled_praise,,you are imaginative
behavior_description,,you 're putting the eyes over there
question,,do you want to build with the blocks now
neutral_talk,when are we going,we 'll leave after we play
neutral_talk,what d you want,right
labelled_praise,,thanks for helping
command,,in order for us to keep playing please hand me the green block
neutral_talk,,look
neutral_talk,\( cars crash \) boom,"whoa , this one s about to take off"
question,cuz he drank it all up,"oh , what about me"
question,,"oh , what s that"
behavior_description,child rolling cars,you 're rolling the cars
command,dad 's gonna take us to the park,you 're going to play on the swings
negative_talk,,you did n't do that right
question,i want pepper daddy,what did santa bring you
neutral_talk,and how about we do these,i don t want that one there
neutral_talk,"wait , what is this","yeah , but the spicy food might give me an upset stomach"
labelled_praise,,i like the farm animals you picked for us
neutral_talk,,three
reflection,i picked the turtle,you picked the turtle
neutral_talk,,well there s a lot of pretty trucks there
behavior_description,,ryan (name of child) is playing with the blocks
negative_talk,no,no
neutral_talk,,these are nice trucks
negative_talk,(child burps),that is n't nice
neutral_talk,,i am playing with the legos
reflection,i'm going to get some more toys,you 're going to get some more toys
neutral_talk,,that s pretty nutritious
neutral_talk,here you go,here s another one for you
neutral_talk,,they go so fast
command,,start
negative_talk,there,we did a bad job
neutral_talk,,you like to play legos at home
reflection,i made a tower,you did build a tower
negative_talk,the teacher said it 's your fault,your teacher is a
negative_talk,,i do n't like the way you 're talking
labelled_praise,,i like how well you 've been listening today
question,lightning mcqueen just lost his wheel,he lost his wheel
neutral_talk,,i want to use the blue crayons
question,,i'm going to help you okay
neutral_talk,,i like these toys
negative_talk,,you did n't do what i told you to do
reflection,molly at school has head lice,head lice
neutral_talk,look,i do n't feel like it
unlabelled_praise,,nicely done
command,yes,will you take and lift the top off
question,,is that the mommy
question,,who is this
negative_talk,now chickie gonna get on here,you are talking too loudly
reflection,i like fruit,you like fruit
behavior_description,hmm hmm hmm hmm hmm hmm h,you are picking up the toy
behavior_description,giddyup hee,i see you 're coloring those bushes green
negative_talk,,that does not go there
neutral_talk,how does it go down,the foot things get turned and then it goes down
question,that lie down,why
neutral_talk,not all the cars are going to eat that,oh
reflection,these pieces go together,those pieces do fit together
labelled_praise,,i like the house you built
labelled_praise,,you 're a good girl for trying to stay in the lines
question,and eat the spicy,eat it
behavior_description,,you drive that car
reflection,my puppy says woof,woof
question,,you want to play with the truck do n't you
labelled_praise,,that s a great idea
question,now i don t need a pink plate,"oh , wouldn t it be good to have a tray too"
reflection,i drew a cat,you drew a fluffy cat
neutral_talk,,when we get home i am going to make dinner
neutral_talk,let s have a tea,ok
negative_talk,i made you dinner daddy,i do n't want that spaghetti and ketchup does n't go together blugh (play food that might not usually be paired gets this reaction a lot )
neutral_talk,,it is time to clean up
reflection,here 's the chimney we need,you 're right that 's the chimney we need
reflection,this is a duck,a duck
neutral_talk,,yes (we can go to grandma 's later)
question,,ohhh what 's that
question,,what would you like to play with
command,he sits up,why do not you make a house and make it big
neutral_talk,,and now that one too
question,,how many horses are there
neutral_talk,the baking won t it will stop if we put them in,oh
reflection,this is my guy,this is your guy
behavior_description,,straightening the tower at the top
labelled_praise,,i love how nicely you 're sitting
negative_talk,,i do n't like you when you are like this
negative_talk,,that 's not how that works
command,,sit in this chair by me
behavior_description,,that 's a cake
command,,can you get this room cleaned up
neutral_talk,,it is cold in here
unlabelled_praise,,good singing
neutral_talk,sneezes,bless you
negative_talk,do you like my picture,you did n't stay in the lines
labelled_praise,,here comes daddy 's little princess
reflection,i have two toys,you have two toys
neutral_talk,i m gonna this is the inaudible one,"yeah , put that one on the tray too"
question,you,how about i use this one
question,,do you want to play blocks
reflection,this is a red one,it 's red
labelled_praise,,i like that you are playing quietly
command,,put the crayons in the drawer
reflection,my car is super speed racer rrrrr rrrrr rrrr,a super speed racer
command,,can you put all the toys away
behavior_description,,you are smelling the soap
behavior_description,,you laid it down
command,,honey
behavior_description,,you are squeezing the play doh
command,,let 's play cars
behavior_description,,you decided to use markers
neutral_talk,,good morning
unlabelled_praise,,good job
question,,can i be this lego guy
neutral_talk,,i am a grownup
question,do you want to go next,do you want to go next
labelled_praise,,you 're really great at
command,keys,we are going to
labelled_praise,,thanks for sharing the crayons with me
command,,take the dishes out of the box
reflection,i like playing with these legos,you like this game
behavior_description,,now you have two blocks
labelled_praise,,good idea to make a fence
negative_talk,,do n't mess with that
behavior_description,,i see you 're drawing a yellow flower
labelled_praise,,thank you so much
behavior_description,,you 're working hard drawing that rainbow
command,,clean it up
question,,you 're drawing a dog
labelled_praise,,i love the way you 're using good manners
neutral_talk,,i'm looking for another piece
unlabelled_praise,my valentine is going to be for you,that 's sweet
neutral_talk,,i want to play legos
negative_talk,,i swear
labelled_praise,,great job knowing your colors
labelled_praise,,nice job cleaning it up
neutral_talk,not all the cars want to go down,i m going to put mine down again
behavior_description,,you 're making it go so fast
reflection,a b c,a b c (says each letter after the child)
reflection,,you did put the toys there
neutral_talk,dad 's gonna take us to the park,he 's taking both you and sis to play in the parks
command,,go up the stairs
neutral_talk,,the apple is green but it 's safe to eat
behavior_description,,you cleaned up the toy
behavior_description,,you 're working to make it high
reflection,ha yeah,ha yeah
labelled_praise,,you are such a big boy for cleaning up all these toys by yourself
command,no you dont,behave
neutral_talk,,it 's even nicer this time
question,,is that an a
question,i found a pretzel flavored one,"oh , did you"
behavior_description,,you 're making the car move
negative_talk,,stop coloring now
unlabelled_praise,,you are pretty
labelled_praise,,thank you for coming to the table
question,this dog 's name is daisy,daisy huh
question,i love barn animals,which animal is your favorite
reflection,i want this hat,oh you want that hat
behavior_description,,you 're covering it to protect it
reflection,you re wearing tap shoes,i m wearing tap shoes
command,,hand me the crayon
negative_talk,,but i do n't want to have a space ship and you ca n't make me
unlabelled_praise,,wonderful job
neutral_talk,"so , i m going to put it in spicy food","oh , do you want me to help you put that on"
reflection,the hill is long,the hill is long
command,,ok draw this
neutral_talk,,gramma is going to make use lunch today
neutral_talk,,there 's one more car on the floor
command,,wait wait wait
neutral_talk,you 're using a lot of brown,my picture looks pretty gross
labelled_praise,,you colored a beautiful picture
command,mhm,think about it
reflection,i know the meanest car,you know the meanest car
behavior_description,,you 're pulling out the blocks
negative_talk,i'm a plane (child runs around room),stop running around
negative_talk,,trees are n't blue
neutral_talk,,you 're not using the long pieces
command,,press the buttons ok
question,,do you remember where that goes
command,i am eating a sandwich,can you give me the tomatoes for my sandwich
neutral_talk,,you 're using lots of short pieces for this fort
behavior_description,,you just slapped my leg
labelled_praise,,you are such a great builder
neutral_talk,there,ooohhh i see a red one
unlabelled_praise,,great driving
neutral_talk,,a bc d
neutral_talk,goes where,goes there
command,um nillas,johnny
labelled_praise,,are you going to put him in that cool dungeon you made
question,,do you want the car
labelled_praise,"it s okay , mommy",you re good at sharing
reflection,this is my picture for daddy,that 's the picture you 're drawing for daddy
question,,which is your favorite color
neutral_talk,,i'm going to draw a house just like you
question,,do you mean
command,,i need you to sit over here by me
reflection,i want to play with the cars now,you want to play with the cars
command,,can you give me that
reflection,green dogs,green dogs
neutral_talk,,those blocks look pretty cool
labelled_praise,,thank you for the drawing
neutral_talk,that s a slide,mm hm
command,,but i want you to take it down now
neutral_talk,,i can tell you 're pleased with your drawing
labelled_praise,oikoodlec,i like the way you drew that circle
negative_talk,,do n't you threaten me
reflection,no,"no , alright"
question,"after the cars , let s play with the food",you want to play with the food
unlabelled_praise,,you 're so smart
question,try,me try
command,,let 's play with this
question,,are you ready to go
question,,is that the one you like
neutral_talk,,i love spicy
command,gingo,you should
unlabelled_praise,,great clean up
negative_talk,the doggy is ugly,no he 's not
negative_talk,,you 're not sharing
behavior_description,,you pushed that train off the track
negative_talk,,i know you did n't
question,woah so fast,how fast is he going
command,,let 's put all the toys away
command,,you decide what color the house will be
reflection,it 's going to strawberries,strawberries
labelled_praise,,good job picking up all the toys
question,i dont wanna do that,do
question,,you made it jump
command,and the same thing on the third page,please
behavior_description,,you found the bowl
labelled_praise,,thank you for playing so nicely
question,,what was it you said huh
command,,color in the lines
negative_talk,this is the tallest one,no that 's not the tallest
negative_talk,,you 're so silly
neutral_talk,i do n't like these toys,well these are the only toys that are out
labelled_praise,,you 're pretty good at drawing animals
labelled_praise,,well i think that 's a great plane you drew
unlabelled_praise,,good
command,,i expect you to finish this part
command,,walk please
neutral_talk,,"oh , they re getting they need to come into these spaces"
neutral_talk,,you make a circle like this
labelled_praise,,this is a pretty good picnic you put out here
behavior_description,,you drew a butterfly
neutral_talk,,my car is fast
neutral_talk,i'm building the tracks,i'm going to build a bridge
command,i'm eating the food (child puts toy food in mouth),put it down
behavior_description,,you are going to
behavior_description,,you 're building a tower with the red legos
reflection,i knocked the blocks over,the blocks fell over
command,michael,put your hands in your lap
neutral_talk,,we can go to the park after this
behavior_description,,you put two triangles together
labelled_praise,,you have great muscles to be able to pick that up
labelled_praise,,wow that was good
labelled_praise,,you stacked the blocks perfectly
command,,sit down right
neutral_talk,,it 's time to take him apart
reflection,i do n't want little cars,you do n't want little cars
question,whats she doin,did you say is it big
labelled_praise,,i like that tower you 're making
reflection,and the doggy went to the house to get his mother and the daddy came out and helped him find his bone,so the doggy went to get his mommy but the daddy came out to help him find his bone
unlabelled_praise,,nice manners
behavior_description,,you are pretending that 's real ice cream
behavior_description,,you jumped your zebra over the fence
command,,let 's play with these
command,,listen to my instructions
neutral_talk,,you 're wondering where she went
negative_talk,,stop
command,thats right,i guess you should turn it first
command,,sit down please
negative_talk,i think,does that one go there
labelled_praise,,"oh , thank you for putting it on my potato head"
labelled_praise,,i like the way your sharing
question,,say what
behavior_description,there,you re taking him apart
question,no response,what is it called
behavior_description,,you 're dancing
neutral_talk,i am going to draw with the red crayon,i am going to draw with a blue crayon
labelled_praise,,good job putting that hat on
command,well what is he lifting up dad,i want you to
question,,what next
question,and this one,how many trucks do you have
neutral_talk,,"well , we ll find him"
negative_talk,throws train off track again on to the floor,why do you keep doing that i told you not to do that anymore
neutral_talk,i do n't want to sit here,i see toys on the table
negative_talk,,no
labelled_praise,,i love what you 're making
behavior_description,,you 're coloring with the crayons
neutral_talk,,you have a toy like this at our house
reflection,dora is standing up,is she standing up
question,,what kind of fruit is this
neutral_talk,,i am building a boat
neutral_talk,,these are cool blocks
neutral_talk,okay,oooh
labelled_praise,,your story was very well organized
question,,where did the toy go
reflection,yeah,yeah
behavior_description,,you 're pretending to sleep
negative_talk,,big boys do n't whine
question,no,not yet
labelled_praise,,you 're a good helper
labelled_praise,,you are a wonderful butterfly artist
negative_talk,,i ca n't believe you
labelled_praise,,thank you for playing with me
neutral_talk,,these are cool toys
negative_talk,can i get some ice cream after we leave here,yeah that 's gonna happen
neutral_talk,,that s funny
command,,copy this number slowly
neutral_talk,,these trains are pretty cool
reflection,this is a monster truck,it is a monster truck
behavior_description,,you 're pretending to eat the ice cream
neutral_talk,,"oh , i m out of playdough"
neutral_talk,,i want to play blocks
unlabelled_praise,,it 's pretty
question,this is a tractor,how did you get so observant
question,,do you like this tower
command,eighteen,we are going to build a tower now
labelled_praise,,thank you for sitting down
command,,"oh , great"
labelled_praise,,nice work doing that
labelled_praise,,good job cleaning up
negative_talk,,no you ca n't use that toy
reflection,i think this is brown,brown
labelled_praise,,hey that tower looks great
unlabelled_praise,,mommy loves that
question,,why are you building like that
neutral_talk,,oh
behavior_description,i am playing with the blocks,you are playing with the blocks
reflection,these toys are cool,they do have a lot of neat toys
reflection,you like the color blue,i do like the color blue
neutral_talk,this is the mommy and this is the daddy,"ok , got it"
question,,what am i going to do
reflection,yeah,yeah
unlabelled_praise,,"oh , good job"
labelled_praise,,your building such a cool tower
behavior_description,,you 're drawing the branches
neutral_talk,set it on the table,no i ca n't lift it
command,,let s see if you can find some more
command,,play gentle
command,,stack it please
command,,turn the paper over
command,,let 's keep the toys on the mat
labelled_praise,i did it good did n't i,of course you did
unlabelled_praise,,you rock
behavior_description,,you are driving the red car
reflection,i have the red one,you do have the red one
