Speaker,Utterance
parent,i like how well you 've been listening today
child,lightning mcqueen just lost his wheel
parent,he lost his wheel
parent,i want to use the blue crayons
parent,i'm going to help you okay
parent,i like these toys
parent,you did n't do what i told you to do
child,molly at school has head lice
parent,head lice
child,look
parent,i do n't feel like it
parent,nicely done
child,yes
parent,will you take and lift the top off
parent,is that the mommy
parent,who is this
child,now chickie gonna get on here
parent,you are talking too loudly
child,i like fruit
parent,you like fruit
child,hmm hmm hmm hmm hmm hmm h
parent,you are picking up the toy
child,giddyup hee
parent,i see you 're coloring those bushes green
parent,that does not go there
child,how does it go down
parent,the foot things get turned and then it goes down
child,that lie down
parent,why
child,not all the cars are going to eat that
parent,oh
child,these pieces go together
parent,those pieces do fit together
parent,i like the house you built
parent,you 're a good girl for trying to stay in the lines
child,and eat the spicy
parent,eat it
parent,you drive that car
child,my puppy says woof
parent,woof
parent,you want to play with the truck do n't you
parent,that s a great idea
child,now i don t need a pink plate
parent,"oh , wouldn t it be good to have a tray too"
child,i drew a cat
parent,you drew a fluffy cat
parent,when we get home i am going to make dinner
child,let s have a tea
parent,ok
child,i made you dinner daddy
parent,i do n't want that spaghetti and ketchup does n't go together blugh (play food that might not usually be paired gets this reaction a lot )
parent,it is time to clean up
child,here 's the chimney we need
parent,you 're right that 's the chimney we need
child,this is a duck
parent,a duck
parent,yes (we can go to grandma 's later)
parent,ohhh what 's that
parent,what would you like to play with
child,he sits up
parent,why do not you make a house and make it big
parent,and now that one too
parent,how many horses are there
child,the baking won t it will stop if we put them in
parent,oh
child,this is my guy
parent,this is your guy
parent,straightening the tower at the top
parent,i love how nicely you 're sitting
parent,i do n't like you when you are like this
parent,that 's not how that works
parent,sit in this chair by me
parent,that 's a cake
parent,can you get this room cleaned up
parent,it is cold in here
parent,good singing
child,sneezes
parent,bless you
child,do you like my picture
parent,you did n't stay in the lines
parent,here comes daddy 's little princess
child,i have two toys
parent,you have two toys
child,i m gonna this is the inaudible one
parent,"yeah , put that one on the tray too"
child,you
parent,how about i use this one
parent,do you want to play blocks
child,this is a red one
parent,it 's red
parent,i like that you are playing quietly
parent,put the crayons in the drawer
child,my car is super speed racer rrrrr rrrrr rrrr
parent,a super speed racer
parent,can you put all the toys away
parent,you are smelling the soap
parent,you laid it down
parent,honey
parent,you are squeezing the play doh
parent,let 's play cars
parent,you decided to use markers
parent,good morning
parent,good job
parent,can i be this lego guy
parent,i am a grownup
child,do you want to go next
parent,do you want to go next
parent,you 're really great at
child,keys
parent,we are going to
parent,thanks for sharing the crayons with me
parent,take the dishes out of the box
child,i like playing with these legos
parent,you like this game
parent,now you have two blocks
parent,good idea to make a fence
parent,do n't mess with that
parent,i see you 're drawing a yellow flower
parent,thank you so much
parent,you 're working hard drawing that rainbow
parent,clean it up
parent,you 're drawing a dog
parent,i love the way you 're using good manners
parent,i'm looking for another piece
child,my valentine is going to be for you
parent,that 's sweet
parent,i want to play legos
parent,i swear
parent,great job knowing your colors
parent,nice job cleaning it up
child,not all the cars want to go down
parent,i m going to put mine down again
parent,you 're making it go so fast
child,a b c
parent,a b c (says each letter after the child)
parent,you did put the toys there
child,dad 's gonna take us to the park
parent,he 's taking both you and sis to play in the parks
parent,go up the stairs
parent,the apple is green but it 's safe to eat
parent,you cleaned up the toy
parent,you 're working to make it high
child,ha yeah
parent,ha yeah
parent,you are such a big boy for cleaning up all these toys by yourself
child,no you dont
parent,behave
parent,it 's even nicer this time
parent,is that an a
child,i found a pretzel flavored one
parent,"oh , did you"
parent,you 're making the car move
parent,stop coloring now
parent,you are pretty
parent,thank you for coming to the table
child,this dog 's name is daisy
parent,daisy huh
child,i love barn animals
parent,which animal is your favorite
child,i want this hat
parent,oh you want that hat
parent,you 're covering it to protect it
child,you re wearing tap shoes
parent,i m wearing tap shoes
parent,hand me the crayon
parent,but i do n't want to have a space ship and you ca n't make me
parent,wonderful job
child,"so , i m going to put it in spicy food"
parent,"oh , do you want me to help you put that on"
child,the hill is long
parent,the hill is long
parent,ok draw this
parent,gramma is going to make use lunch today
parent,there 's one more car on the floor
parent,wait wait wait
child,you 're using a lot of brown
parent,my picture looks pretty gross
parent,you colored a beautiful picture
child,mhm
parent,think about it
child,i know the meanest car
parent,you know the meanest car
parent,you 're pulling out the blocks
child,i'm a plane (child runs around room)
parent,stop running around
parent,trees are n't blue
parent,you 're not using the long pieces
parent,press the buttons ok
parent,do you remember where that goes
child,i am eating a sandwich
parent,can you give me the tomatoes for my sandwich
parent,you 're using lots of short pieces for this fort
parent,you just slapped my leg
parent,you are such a great builder
child,there
parent,ooohhh i see a red one
parent,great driving
parent,a bc d
child,goes where
parent,goes there
child,um nillas
parent,johnny
parent,are you going to put him in that cool dungeon you made
parent,do you want the car
child,"it s okay , mommy"
parent,you re good at sharing
child,this is my picture for daddy
parent,that 's the picture you 're drawing for daddy
parent,which is your favorite color
parent,i'm going to draw a house just like you
parent,do you mean
parent,i need you to sit over here by me
child,i want to play with the cars now
parent,you want to play with the cars
parent,can you give me that
child,green dogs
parent,green dogs
parent,those blocks look pretty cool
parent,thank you for the drawing
child,that s a slide
parent,mm hm
parent,but i want you to take it down now
parent,i can tell you 're pleased with your drawing
child,oikoodlec
parent,i like the way you drew that circle
parent,do n't you threaten me
child,no
parent,"no , alright"
child,"after the cars , let s play with the food"
parent,you want to play with the food
parent,you 're so smart
child,try
parent,me try
parent,let 's play with this
parent,are you ready to go
parent,is that the one you like
parent,i love spicy
child,gingo
parent,you should
parent,great clean up
child,the doggy is ugly
parent,no he 's not
parent,you 're not sharing
parent,you pushed that train off the track
parent,i know you did n't
child,woah so fast
parent,how fast is he going
parent,let 's put all the toys away
parent,you decide what color the house will be
child,it 's going to strawberries
parent,strawberries
parent,good job picking up all the toys
child,i dont wanna do that
parent,do
parent,you made it jump
child,and the same thing on the third page
parent,please
parent,you found the bowl
parent,thank you for playing so nicely
parent,what was it you said huh
parent,color in the lines
child,this is the tallest one
parent,no that 's not the tallest
parent,you 're so silly
child,i do n't like these toys
parent,well these are the only toys that are out
parent,you 're pretty good at drawing animals
parent,well i think that 's a great plane you drew
parent,good
parent,i expect you to finish this part
parent,walk please
parent,"oh , they re getting they need to come into these spaces"
parent,you make a circle like this
parent,this is a pretty good picnic you put out here
parent,you drew a butterfly
parent,my car is fast
child,i'm building the tracks
parent,i'm going to build a bridge
child,i'm eating the food (child puts toy food in mouth)
parent,put it down
parent,you are going to
parent,you 're building a tower with the red legos
child,i knocked the blocks over
parent,the blocks fell over
child,michael
parent,put your hands in your lap
parent,we can go to the park after this
parent,you put two triangles together
parent,you have great muscles to be able to pick that up
parent,wow that was good
parent,you stacked the blocks perfectly
parent,sit down right
parent,it 's time to take him apart
child,i do n't want little cars
parent,you do n't want little cars
child,whats she doin
parent,did you say is it big
parent,i like that tower you 're making
child,and the doggy went to the house to get his mother and the daddy came out and helped him find his bone
parent,so the doggy went to get his mommy but the daddy came out to help him find his bone
parent,nice manners
parent,you are pretending that 's real ice cream
parent,you jumped your zebra over the fence
parent,let 's play with these
parent,listen to my instructions
parent,you 're wondering where she went
parent,stop
child,thats right
parent,i guess you should turn it first
parent,sit down please
child,i think
parent,does that one go there
parent,"oh , thank you for putting it on my potato head"
parent,i like the way your sharing
parent,say what
child,there
parent,you re taking him apart
child,no response
parent,what is it called
parent,you 're dancing
child,i am going to draw with the red crayon
parent,i am going to draw with a blue crayon
parent,good job putting that hat on
child,well what is he lifting up dad
parent,i want you to
parent,what next
child,and this one
parent,how many trucks do you have
parent,"well , we ll find him"
child,throws train off track again on to the floor
parent,why do you keep doing that i told you not to do that anymore
child,i do n't want to sit here
parent,i see toys on the table
parent,no
parent,i love what you 're making
parent,you 're coloring with the crayons
parent,you have a toy like this at our house
child,dora is standing up
parent,is she standing up
parent,what kind of fruit is this
parent,i am building a boat
parent,these are cool blocks
child,okay
parent,oooh
parent,your story was very well organized
parent,where did the toy go
child,yeah
parent,yeah
parent,you 're pretending to sleep
parent,big boys do n't whine
child,no
parent,not yet
parent,you 're a good helper
parent,you are a wonderful butterfly artist
parent,i ca n't believe you
parent,thank you for playing with me
parent,these are cool toys
child,can i get some ice cream after we leave here
parent,yeah that 's gonna happen
parent,that s funny
parent,copy this number slowly
parent,these trains are pretty cool
child,this is a monster truck
parent,it is a monster truck
parent,you 're pretending to eat the ice cream
parent,"oh , i m out of playdough"
parent,i want to play blocks
parent,it 's pretty
child,this is a tractor
parent,how did you get so observant
parent,do you like this tower
child,eighteen
parent,we are going to build a tower now
parent,thank you for sitting down
parent,"oh , great"
parent,nice work doing that
parent,good job cleaning up
parent,no you ca n't use that toy
child,i think this is brown
parent,brown
parent,hey that tower looks great
parent,mommy loves that
parent,why are you building like that
parent,oh
child,i am playing with the blocks
parent,you are playing with the blocks
child,these toys are cool
parent,they do have a lot of neat toys
child,you like the color blue
parent,i do like the color blue
child,this is the mommy and this is the daddy
parent,"ok , got it"
parent,what am i going to do
child,yeah
parent,yeah
parent,"oh , good job"
parent,your building such a cool tower
parent,you 're drawing the branches
child,set it on the table
parent,no i ca n't lift it
parent,let s see if you can find some more
parent,play gentle
parent,stack it please
parent,turn the paper over
parent,let 's keep the toys on the mat
child,i did it good did n't i
parent,of course you did
parent,you rock
parent,you are driving the red car
child,i have the red one
parent,you do have the red one
child,why do i have to
parent,you 're wondering why
parent,do you know this color
child,they re bouncing
parent,they re bouncing all over the place
parent,good job building that house
parent,nice job cleaning up
parent,i hope we can finish the puzzle
parent,good place to put that block
parent,let 's play with mr potato head now
parent,know where the lion is
child,look at this nice and shiny car
parent,mmm
parent,shhh
parent,you are putting the green block on the blue block
child,"and but , it can make for the bake sale"
parent,"oh , it s for the bake sale"
child,where is the block
parent,where is the block
parent,hmmm
parent,oh you put the stick on
parent,give me a red car
child,not yet
parent,sometimes they are hard to stay in
parent,i do n't know where to find that
parent,i wish daddy could join us
parent,oh that s good
parent,quit getting up from the table
parent,put the bin by the wall
child,what letters are in my name
parent,there are lots of letters in your name
parent,you did such a great job cleaning up for me
child,i'm mad at you
parent,you 're angry with me
parent,you are playing with the whole track
parent,looks good
parent,i see you are jumping
child,i put a big red block on top
parent,you put a green block on top
parent,you dumped all the blocks out
parent,i am
parent,perfect
parent,you 're a good girl are n't you
parent,you 're making the car race down the track
parent,you 're putting it over there
child,i ca n't put the puzzle together
parent,you 're frustrated with this puzzle
parent,do n't be ugly
child,draws a picture of a snake
parent,the snake has a long tongue
child,the trees need to be green (as child colors trees green)
parent,green trees
parent,i wonder what you 're doing
parent,sorry
parent,lots of cards
parent,you 're adding lots of polka dots in your drawing
child,draws a spider
parent,ew you drew a spider
parent,does syrup go on all that
parent,you are moving your car fast
parent,you 're running around the room
parent,do n't you want to sit down with me
parent,say thank you
parent,his arms are long
parent,toys do n't go in your mouth
parent,thank you for sharing that potato head
parent,put the lid on the box
parent,thanks for making this for me
parent,watch out
parent,no do n't throw that
parent,the queen is on top of the tower
child,what are we having for dinner
parent,what do you want to eat
parent,you got the blocks out
child,playing with animals
parent,the lion does n't make that noise
parent,good job making that tower
child,oh
parent,when do they start going down
child,you can have eight
parent,"okay , so how many more do i need then"
parent,terrible terrible
parent,i see you smiling
child,i'm drawing a tree
parent,you are drawing it
child,now we have two
parent,now we just have two
parent,which one is mine
parent,do you want to play
parent,that is very pretty
parent,can you give me the green one
parent,do n't put it there yet
parent,"now , let s put monster trucks in here"
child,the car is going fast
parent,that car is going fast
child,here 's ernie he 's fixing the car
parent,ernie 's working on the car
child,this is a stupid toy
parent,you think these legos are dumb
parent,"ah , there he goes"
child,daddy said i my bedtime is 10 00
parent,daddy said your bedtime is 9 00
child,so that s funny
parent,that is funny
child,i do n't like these toys
parent,i ca n't decide what to play with today
parent,impressive
parent,i'm going to use the red crayon
parent,i m clean as a whistle
parent,i also forgot the cupcakes and the soda
parent,we 're getting it to fit
parent,do you want to do another one of these
parent,are you having fun
parent,you made a valentine
parent,shut the door
parent,you ca n't use this paper
parent,please use your indoor voice
child,do you want to play
parent,you want me to play with you
child,and we need another cup
parent,oh
child,what is that
parent,you 're wondering what that is
child,yes
parent,okay
parent,thank you for helping me
parent,i like it
parent,you did it wrong
parent,what was the last word
parent,thank you for picking up the toys
child,um
parent,peas
parent,that was slow
child,i drew a house
parent,you drew a house with shutters
parent,"well , the playdoh can be for either anybody"
child,a b goes next
parent,b
parent,you poured juice in the cup
child,i want to go home
parent,do you want to go home
parent,would you read that last word again
child,let 's go to the park
parent,should we go to the park after school or after snack
parent,you put the cow in the farm
parent,hello mr potato head
parent,you are smiling
parent,thank you for sitting quietly on your bottom
